row_id,model,transformation,true_label,original_prediction,transformed_prediction,prediction_changed,original_caption,transformed_caption
3101,CLIP + MLP,blur,0,0,0,False,,
3101,ViLT,blur,0,0,0,False,,
3101,BLIP Caption + BERT,blur,0,0,0,False,a group of people walking through a flooded room,a group of people walking through a flooded room
3101,CLIP + MLP,grayscale,0,0,0,False,,
3101,ViLT,grayscale,0,0,0,False,,
3101,BLIP Caption + BERT,grayscale,0,0,0,False,a group of people walking through a flooded room,a group of people standing in a room
3101,CLIP + MLP,darken,0,0,0,False,,
3101,ViLT,darken,0,0,0,False,,
3101,BLIP Caption + BERT,darken,0,0,0,False,a group of people walking through a flooded room,the crew of the movie
3101,CLIP + MLP,crop,0,0,0,False,,
3101,ViLT,crop,0,0,0,False,,
3101,BLIP Caption + BERT,crop,0,0,0,False,a group of people walking through a flooded room,"the warriors of the lost, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person"
29690,CLIP + MLP,blur,0,0,0,False,,
29690,ViLT,blur,0,0,0,False,,
29690,BLIP Caption + BERT,blur,0,1,0,True,a bear is jumping over a hill,a bear is standing on top of a hill
29690,CLIP + MLP,grayscale,0,0,0,False,,
29690,ViLT,grayscale,0,0,0,False,,
29690,BLIP Caption + BERT,grayscale,0,1,1,False,a bear is jumping over a hill,a black and white photo of a vineyard
29690,CLIP + MLP,darken,0,0,0,False,,
29690,ViLT,darken,0,0,0,False,,
29690,BLIP Caption + BERT,darken,0,1,1,False,a bear is jumping over a hill,a bear is jumping over a hill
29690,CLIP + MLP,crop,0,0,0,False,,
29690,ViLT,crop,0,0,0,False,,
29690,BLIP Caption + BERT,crop,0,1,1,False,a bear is jumping over a hill,a house in the middle of a field
92734,CLIP + MLP,blur,0,0,0,False,,
92734,ViLT,blur,0,0,0,False,,
92734,BLIP Caption + BERT,blur,0,0,0,False,a bunch of kittens sitting on top of a scratching tower,three cats are sitting on a cat tree
92734,CLIP + MLP,grayscale,0,0,0,False,,
92734,ViLT,grayscale,0,0,0,False,,
92734,BLIP Caption + BERT,grayscale,0,0,0,False,a bunch of kittens sitting on top of a scratching tower,a bunch of cats sitting on top of a cat tower
92734,CLIP + MLP,darken,0,0,0,False,,
92734,ViLT,darken,0,0,0,False,,
92734,BLIP Caption + BERT,darken,0,0,0,False,a bunch of kittens sitting on top of a scratching tower,a bunch of kittens sitting on top of a scratching tower
92734,CLIP + MLP,crop,0,0,0,False,,
92734,ViLT,crop,0,0,0,False,,
92734,BLIP Caption + BERT,crop,0,0,0,False,a bunch of kittens sitting on top of a scratching tower,three kittens are sitting in a basket
74652,CLIP + MLP,blur,1,0,0,False,,
74652,ViLT,blur,1,1,0,True,,
74652,BLIP Caption + BERT,blur,1,0,0,False,a sign that says whole food is on the wall,a blurry image of a store with a sign
74652,CLIP + MLP,grayscale,1,0,0,False,,
74652,ViLT,grayscale,1,1,0,True,,
74652,BLIP Caption + BERT,grayscale,1,0,1,True,a sign that says whole food is on the wall,a store with a sign that says whole food
74652,CLIP + MLP,darken,1,0,0,False,,
74652,ViLT,darken,1,1,1,False,,
74652,BLIP Caption + BERT,darken,1,0,1,True,a sign that says whole food is on the wall,a store with a sign that says whole food
74652,CLIP + MLP,crop,1,0,0,False,,
74652,ViLT,crop,1,1,1,False,,
74652,BLIP Caption + BERT,crop,1,0,1,True,a sign that says whole food is on the wall,a store with a sign that says whole foods
27195,CLIP + MLP,blur,1,0,0,False,,
27195,ViLT,blur,1,1,1,False,,
27195,BLIP Caption + BERT,blur,1,0,0,False,a man is surfing in the water with other people,a man in a yellow shirt is surfing
27195,CLIP + MLP,grayscale,1,0,0,False,,
27195,ViLT,grayscale,1,1,1,False,,
27195,BLIP Caption + BERT,grayscale,1,0,0,False,a man is surfing in the water with other people,a group of people swimming in the ocean
27195,CLIP + MLP,darken,1,0,0,False,,
27195,ViLT,darken,1,1,1,False,,
27195,BLIP Caption + BERT,darken,1,0,0,False,a man is surfing in the water with other people,a man is surfing in the water
27195,CLIP + MLP,crop,1,0,0,False,,
27195,ViLT,crop,1,1,1,False,,
27195,BLIP Caption + BERT,crop,1,0,0,False,a man is surfing in the water with other people,a man is surfing in the water
80706,CLIP + MLP,blur,1,0,0,False,,
80706,ViLT,blur,1,0,0,False,,
80706,BLIP Caption + BERT,blur,1,0,1,True,a man in a suit and tie sitting at a table,a man in a purple shirt
80706,CLIP + MLP,grayscale,1,0,0,False,,
80706,ViLT,grayscale,1,0,0,False,,
80706,BLIP Caption + BERT,grayscale,1,0,0,False,a man in a suit and tie sitting at a table,a man sitting at a table with a laptop
80706,CLIP + MLP,darken,1,0,0,False,,
80706,ViLT,darken,1,0,0,False,,
